time	V(v_rl)	V(vi)
1.906993856081281e-002	4.570718e-005	-1.443688e+000
1.928422427509852e-002	6.470511e-005	-1.114884e+000
1.937279570366994e-002	7.067623e-005	-9.785785e-001
1.946136713224137e-002	8.164601e-005	-8.417815e-001
1.954993856081279e-002	9.761445e-005	-7.044929e-001
1.963850998938422e-002	1.185815e-004	-5.667125e-001
1.972708141795564e-002	1.445473e-004	-4.284404e-001
1.981565284652707e-002	1.755117e-004	-2.896766e-001
1.990422427509849e-002	2.114748e-004	-1.504211e-001
1.991708141795563e-002	2.171786e-004	-1.302323e-001
1.992993856081278e-002	2.299609e-004	-1.100423e-001
1.994279570366992e-002	2.498217e-004	-8.985091e-002
1.995565284652706e-002	2.767609e-004	-6.965825e-002
1.996850998938420e-002	3.107786e-004	-4.946429e-002
1.998136713224135e-002	3.518747e-004	-2.926903e-002
1.999422427509849e-002	4.000493e-004	-9.072460e-003
2.001422427509849e-002	5.348910e-004	2.234331e-002
2.002422427509849e-002	6.358533e-004	3.805094e-002
2.003422427509849e-002	7.695431e-004	5.375820e-002
2.004422427509849e-002	9.469771e-004	6.946492e-002
2.005422427509849e-002	1.182688e-003	8.517096e-002
2.006422427509848e-002	1.495675e-003	1.008762e-001
2.007422427509848e-002	1.910476e-003	1.165804e-001
2.008422427509848e-002	2.458294e-003	1.322834e-001
2.009422427509848e-002	3.178010e-003	1.479852e-001
2.010422427509848e-002	4.116738e-003	1.636855e-001
2.011422427509848e-002	5.329186e-003	1.793841e-001
2.012422427509848e-002	6.876930e-003	1.950810e-001
2.013422427509848e-002	8.827115e-003	2.107760e-001
2.014422427509848e-002	1.124839e-002	2.264689e-001
2.015422427509848e-002	1.420567e-002	2.421596e-001
2.016422427509848e-002	1.775512e-002	2.578478e-001
2.017422427509848e-002	2.193966e-002	2.735336e-001
2.018422427509848e-002	2.678614e-002	2.892166e-001
2.019422427509848e-002	3.230430e-002	3.048967e-001
2.020422427509848e-002	3.848785e-002	3.205739e-001
2.021422427509848e-002	4.531687e-002	3.362479e-001
2.022422427509848e-002	5.276105e-002	3.519186e-001
2.023422427509848e-002	6.078307e-002	3.675858e-001
2.024422427509848e-002	6.934173e-002	3.832494e-001
2.025422427509848e-002	7.839442e-002	3.989092e-001
2.027422427509848e-002	9.781506e-002	4.302168e-001
2.029422427509848e-002	1.187332e-001	4.615074e-001
2.032422427509847e-002	1.523471e-001	5.084088e-001
2.034993856081276e-002	1.832566e-001	5.485808e-001
2.037565284652704e-002	2.148910e-001	5.887104e-001
2.040136713224133e-002	2.472503e-001	6.287977e-001
2.042708141795561e-002	2.803345e-001	6.688426e-001
2.045279570366990e-002	3.141435e-001	7.088453e-001
2.047850998938418e-002	3.486775e-001	7.488055e-001
2.050422427509847e-002	3.839364e-001	7.887235e-001
2.054279570366989e-002	4.371978e-001	8.485151e-001
2.058136713224132e-002	4.907849e-001	9.081602e-001
2.061993856081275e-002	5.446977e-001	9.676590e-001
2.065850998938417e-002	5.989361e-001	1.027011e+000
2.069708141795560e-002	6.535003e-001	1.086217e+000
2.073565284652703e-002	7.083901e-001	1.145277e+000
2.077422427509846e-002	7.636056e-001	1.204190e+000
2.078422427509846e-002	7.778844e-001	1.219429e+000
2.093850998938416e-002	1.000914e+000	1.454250e+000
2.109279570366987e-002	1.220507e+000	1.684336e+000
2.124708141795558e-002	1.436665e+000	1.909688e+000
2.140136713224129e-002	1.649388e+000	2.130306e+000
2.155565284652700e-002	1.858674e+000	2.346189e+000
2.170993856081270e-002	2.064526e+000	2.557339e+000
2.186422427509841e-002	2.266941e+000	2.763755e+000
2.213708141795554e-002	2.611924e+000	3.115525e+000
2.240993856081268e-002	2.929504e+000	3.439090e+000
2.268279570366981e-002	3.219683e+000	3.734447e+000
2.295565284652694e-002	3.482461e+000	4.001599e+000
2.322850998938407e-002	3.717837e+000	4.240544e+000
2.350136713224120e-002	3.925811e+000	4.451282e+000
2.377422427509833e-002	4.106383e+000	4.633814e+000
2.378422427509833e-002	4.112188e+000	4.639692e+000
2.421136713224117e-002	4.316465e+000	4.846507e+000
2.463850998938401e-002	4.434008e+000	4.965502e+000
2.506565284652685e-002	4.464816e+000	4.996678e+000
2.549279570366969e-002	4.408891e+000	4.940035e+000
2.591993856081253e-002	4.266232e+000	4.795571e+000
2.634708141795537e-002	4.036838e+000	4.563288e+000
2.677422427509821e-002	3.720711e+000	4.243185e+000
2.678422427509821e-002	3.712494e+000	4.234855e+000
2.703136713224106e-002	3.492045e+000	4.011753e+000
2.727850998938390e-002	3.252371e+000	3.768502e+000
2.752565284652675e-002	2.993473e+000	3.505102e+000
2.777279570366960e-002	2.715351e+000	3.221554e+000
2.801993856081245e-002	2.418004e+000	2.917856e+000
2.826708141795530e-002	2.101432e+000	2.594011e+000
2.851422427509814e-002	1.765637e+000	2.250016e+000
2.863422427509814e-002	1.599352e+000	2.079498e+000
2.875422427509813e-002	1.432024e+000	1.906649e+000
2.887422427509813e-002	1.263652e+000	1.731469e+000
2.899422427509812e-002	1.094235e+000	1.553957e+000
2.911422427509812e-002	9.237741e-001	1.374115e+000
2.923422427509811e-002	7.522692e-001	1.191941e+000
2.935422427509811e-002	5.797203e-001	1.007435e+000
2.939279570366953e-002	5.248265e-001	9.479959e-001
2.943136713224096e-002	4.707115e-001	8.884391e-001
2.946993856081239e-002	4.173751e-001	8.287650e-001
2.950850998938381e-002	3.648174e-001	7.689735e-001
2.954708141795524e-002	3.130384e-001	7.090648e-001
2.958565284652667e-002	2.620380e-001	6.490388e-001
2.962422427509810e-002	2.118163e-001	5.888956e-001
2.963993856081238e-002	1.919375e-001	5.643749e-001
2.965565284652667e-002	1.726479e-001	5.398420e-001
2.967136713224095e-002	1.539474e-001	5.152969e-001
2.968708141795523e-002	1.358361e-001	4.907394e-001
2.970279570366952e-002	1.183140e-001	4.661698e-001
2.971850998938381e-002	1.013811e-001	4.415878e-001
2.973422427509809e-002	8.503726e-002	4.169936e-001
2.974422427509809e-002	7.532053e-002	4.013384e-001
2.975422427509809e-002	6.606399e-002	3.856792e-001
2.976422427509809e-002	5.731796e-002	3.700162e-001
2.977422427509809e-002	4.913516e-002	3.543495e-001
2.978422427509809e-002	4.156849e-002	3.386793e-001
2.979422427509809e-002	3.466753e-002	3.230059e-001
2.980422427509809e-002	2.847372e-002	3.073292e-001
2.981422427509809e-002	2.301461e-002	2.916495e-001
2.982422427509809e-002	1.829809e-002	2.759669e-001
2.983422427509809e-002	1.430832e-002	2.602816e-001
2.984422427509809e-002	1.100486e-002	2.445937e-001
2.985422427509809e-002	8.325868e-003	2.289034e-001
2.986422427509809e-002	6.194809e-003	2.132108e-001
2.987422427509809e-002	4.528634e-003	1.975161e-001
2.988422427509808e-002	3.245395e-003	1.818195e-001
2.989422427509808e-002	2.269683e-003	1.661211e-001
2.990422427509808e-002	1.535128e-003	1.504211e-001
2.991422427509808e-002	9.860671e-004	1.347196e-001
2.992422427509808e-002	5.782855e-004	1.190167e-001
2.993422427509808e-002	2.772811e-004	1.033127e-001
2.994422427509808e-002	5.634430e-005	8.760761e-002
2.995422427509808e-002	-1.049001e-004	7.190169e-002
2.996422427509808e-002	-2.218595e-004	5.619506e-002
2.997422427509808e-002	-3.060848e-004	4.048787e-002
2.999422427509808e-002	-4.085953e-004	9.072460e-003
3.002422427509808e-002	-4.710256e-004	-3.805094e-002
3.005422427509808e-002	-4.742242e-004	-8.518142e-002
3.008422427509808e-002	-4.744882e-004	-1.322939e-001
3.011422427509808e-002	-4.718177e-004	-1.793883e-001
3.014422427509807e-002	-4.662125e-004	-2.264647e-001
3.017422427509807e-002	-4.576727e-004	-2.735231e-001
3.020422427509807e-002	-4.461984e-004	-3.205634e-001
3.023422427509807e-002	-4.317894e-004	-3.675858e-001
3.039422427509807e-002	-3.996908e-004	-6.192063e-001
3.055422427509807e-002	-3.717805e-004	-8.677165e-001
3.071422427509807e-002	-3.480586e-004	-1.113116e+000
3.087422427509807e-002	-3.285252e-004	-1.355406e+000
3.103422427509807e-002	-3.131802e-004	-1.594585e+000
3.119422427509806e-002	-3.020235e-004	-1.830654e+000
3.135422427509806e-002	-2.950553e-004	-2.063612e+000
3.155708141795527e-002	-2.835274e-004	-2.352093e+000
3.175993856081247e-002	-2.725740e-004	-2.628366e+000
3.196279570366968e-002	-2.621949e-004	-2.892432e+000
3.216565284652688e-002	-2.523901e-004	-3.144290e+000
3.236850998938409e-002	-2.431597e-004	-3.383942e+000
3.257136713224129e-002	-2.345037e-004	-3.611386e+000
3.277422427509850e-002	-2.264221e-004	-3.826622e+000
3.278422427509850e-002	-2.260124e-004	-3.836714e+000
3.321136713224149e-002	-2.092441e-004	-4.239596e+000
3.363850998938447e-002	-1.926455e-004	-4.556569e+000
3.406565284652746e-002	-1.762165e-004	-4.787635e+000
3.449279570367046e-002	-1.599572e-004	-4.932792e+000
3.491993856081344e-002	-1.438676e-004	-4.992041e+000
3.534708141795643e-002	-1.279476e-004	-4.965382e+000
3.577422427509942e-002	-1.121973e-004	-4.852814e+000
3.578422427509942e-002	-1.118213e-004	-4.849007e+000
3.610708141795666e-002	-9.997645e-005	-4.693791e+000
3.642993856081390e-002	-8.770049e-005	-4.496667e+000
3.675279570367115e-002	-7.499342e-005	-4.257636e+000
3.707565284652839e-002	-6.185526e-005	-3.976697e+000
3.739850998938563e-002	-4.828600e-005	-3.653851e+000
3.772136713224287e-002	-3.428563e-005	-3.289098e+000
3.804422427510011e-002	-1.985417e-005	-2.882437e+000
3.814850998938586e-002	-1.484668e-005	-2.746681e+000
3.825279570367161e-002	-9.555769e-006	-2.608356e+000
3.835708141795735e-002	-3.981435e-006	-2.467463e+000
3.846136713224310e-002	1.876321e-006	-2.324000e+000
3.856565284652884e-002	8.017500e-006	-2.177970e+000
3.866993856081459e-002	1.444210e-005	-2.029370e+000
3.877422427510033e-002	2.115012e-005	-1.878203e+000
3.878422427510034e-002	2.183107e-005	-1.863636e+000
3.893279570367181e-002	2.829171e-005	-1.643894e+000
3.908136713224329e-002	3.962201e-005	-1.421797e+000
3.922993856081476e-002	5.582197e-005	-1.197343e+000
3.937850998938623e-002	7.689160e-005	-9.705329e-001
3.952708141795771e-002	1.028309e-004	-7.413670e-001
3.967565284652918e-002	1.336398e-004	-5.098450e-001
3.982422427510066e-002	1.693184e-004	-2.759669e-001
3.984565284652923e-002	1.718872e-004	-2.423485e-001
3.986708141795781e-002	1.808088e-004	-2.087230e-001
3.988850998938639e-002	1.960832e-004	-1.750903e-001
3.990993856081497e-002	2.177104e-004	-1.414505e-001
3.993136713224355e-002	2.456903e-004	-1.078034e-001
3.995279570367213e-002	2.800231e-004	-7.414924e-002
3.997422427510070e-002	3.207086e-004	-4.048787e-002
3.999422427510071e-002	3.986426e-004	-9.072467e-003
4.000000000000000e-002	4.281189e-004	-2.449213e-015
